#      distance             U_x             U_y             U_z
    0.017468105      0.19361352  -3.1453165e-16               0
    0.029606807      0.32545232   -3.078392e-16               0
    0.042184752      0.46018489  -2.7906946e-16               0
    0.055217834      0.59779062  -2.9310112e-16               0
    0.068722522      0.73817255  -2.9237605e-16               0
    0.082715881        0.881192  -3.0652317e-16               0
    0.097215595       1.0266821  -2.9741807e-16               0
     0.11223999       1.1744518  -3.0630779e-16               0
     0.12780804       1.3242872  -2.9235608e-16               0
     0.14393943       1.4759496  -2.9707536e-16               0
     0.16065453       1.6291753  -3.0156166e-16               0
     0.17797448       1.7836732  -3.1084983e-16               0
     0.19592116       1.9391244   -3.196655e-16               0
     0.21451724       2.0951803  -3.2125775e-16               0
     0.23378623       2.2514627  -3.0938168e-16               0
     0.25375247       2.4075625  -2.9911665e-16               0
      0.2744412       2.5630404  -2.8909391e-16               0
     0.29587856       2.7174275   -2.728644e-16               0
     0.31809163       2.8702264  -2.3321673e-16               0
     0.34110849       3.0209138   -2.136067e-16               0
     0.36495823       3.1689435   -2.232953e-16               0
     0.38967097       3.3137505  -2.1597208e-16               0
     0.41527795       3.4547563  -1.7750196e-16               0
     0.44181153       3.5913754  -1.4236588e-16               0
     0.46930524       3.7230218  -1.5633502e-16               0
     0.49779381       3.8491178  -2.0372588e-16               0
     0.52731325       3.9691015  -2.1740704e-16               0
     0.55790087       4.0824352  -2.0754121e-16               0
      0.5895953        4.188613  -2.1218649e-16               0
     0.62243661       4.2871658  -2.1090987e-16               0
     0.65646629       4.3776655  -2.1102274e-16               0
     0.69172735       4.4597236  -2.0643027e-16               0
     0.72826434       4.5329853   -1.961413e-16               0
     0.76612343       4.5971155  -1.7979445e-16               0
     0.80535246       4.6517757  -1.5741824e-16               0
     0.84600101       4.6965942    -1.29674e-16               0
     0.88812045       4.7311271  -9.7261105e-17               0
     0.93176398       4.7548099  -6.0793129e-17               0
     0.97698677       4.7669855  -2.0976851e-17               0
