# Residuals     
# Time          	p               	sigmaxx         	sigmaxy         	sigmayy         	sigmazz         
0               	N/A             	N/A             	N/A             	N/A             	N/A             
0.005           	2.75973453e-01	2.43497399e-01	1.00000000e+00	3.93846879e-01	0.00000000e+00
0.01            	1.63467653e-01	2.11156102e-01	4.51425016e-01	4.69347475e-01	0.00000000e+00
0.015           	2.58099210e-01	1.78981572e-01	2.61301128e-01	4.04830582e-01	0.00000000e+00
0.02            	1.29769809e-01	1.50171981e-01	1.84835418e-01	2.30578989e-01	0.00000000e+00
0.025           	2.59780788e-01	1.28307029e-01	1.42627430e-01	1.98999006e-01	0.00000000e+00
0.03            	4.65961104e-01	1.11575097e-01	1.15846035e-01	2.11589481e-01	0.00000000e+00
0.035           	2.55227031e-01	9.84624505e-02	9.74541441e-02	1.50816101e-01	0.00000000e+00
0.04            	1.20767358e-01	8.81371619e-02	8.40622436e-02	8.91826783e-02	0.00000000e+00
0.045           	3.79436155e-01	7.98339005e-02	7.38884178e-02	1.28833794e-01	0.00000000e+00
0.05            	2.26320311e-01	7.29267193e-02	6.59407993e-02	1.00578540e-01	0.00000000e+00
0.055           	1.62741147e-01	6.71180085e-02	5.95510094e-02	1.17810989e-01	0.00000000e+00
0.06            	5.88584456e-01	6.22136648e-02	5.43081345e-02	9.26965700e-02	0.00000000e+00
0.065           	3.92493023e-01	5.80209119e-02	4.99420990e-02	8.21445828e-02	0.00000000e+00
0.07            	1.89636514e-01	5.43936923e-02	4.62586758e-02	7.21023837e-02	0.00000000e+00
0.075           	2.10050862e-01	5.11899482e-02	4.30931724e-02	7.17541656e-02	0.00000000e+00
0.08            	1.60616710e-01	4.83535457e-02	4.03484632e-02	5.56144818e-02	0.00000000e+00
0.085           	4.85705196e-01	4.58274348e-02	3.79506417e-02	3.79065498e-02	0.00000000e+00
0.09            	2.16954477e-01	4.35730227e-02	3.58384500e-02	5.86230845e-02	0.00000000e+00
0.095           	3.72778497e-01	4.15487794e-02	3.39641533e-02	8.43204982e-02	0.00000000e+00
0.1             	1.57789877e-01	3.97211573e-02	3.22889010e-02	5.71730792e-02	0.00000000e+00
0.105           	1.40117274e-01	3.80472901e-02	3.07706763e-02	6.67074817e-02	0.00000000e+00
0.11            	2.04912906e-01	3.65170830e-02	2.93973906e-02	4.74876564e-02	0.00000000e+00
0.115           	1.24755585e-01	3.51167916e-02	2.81509498e-02	4.21682653e-02	0.00000000e+00
0.12            	4.58400641e-01	3.38195148e-02	2.70146877e-02	6.31977664e-02	0.00000000e+00
0.125           	1.89924695e-01	3.26212585e-02	2.59747145e-02	4.84673612e-02	0.00000000e+00
0.13            	5.79081109e-01	3.15133109e-02	2.50193733e-02	3.62324748e-02	0.00000000e+00
0.135           	2.14406411e-01	3.04857944e-02	2.41388061e-02	4.11355186e-02	0.00000000e+00
0.14            	2.26803429e-01	2.95302174e-02	2.33242191e-02	2.79240670e-02	0.00000000e+00
0.145           	2.24135985e-01	2.86345033e-02	2.25639133e-02	2.68304939e-02	0.00000000e+00
0.15            	1.71161649e-01	2.77917704e-02	2.18570304e-02	2.94628985e-02	0.00000000e+00
0.155           	5.59841277e-01	2.70024897e-02	2.11981693e-02	2.69449413e-02	0.00000000e+00
0.16            	2.34085043e-01	2.62617102e-02	2.05826296e-02	2.89326067e-02	0.00000000e+00
0.165           	3.73337973e-01	2.55650746e-02	2.00036663e-02	3.22863227e-02	0.00000000e+00
0.17            	2.02946537e-01	2.49067372e-02	1.94596949e-02	2.29867752e-02	0.00000000e+00
0.175           	4.53058135e-01	2.42805980e-02	1.89483517e-02	1.98603372e-02	0.00000000e+00
0.18            	1.52691132e-01	2.36887395e-02	1.84668068e-02	2.82859263e-02	0.00000000e+00
0.185           	4.36081357e-01	2.31284116e-02	1.80125480e-02	2.38975395e-02	0.00000000e+00
0.19            	2.27881970e-01	2.25971484e-02	1.75833382e-02	2.20890183e-02	0.00000000e+00
0.195           	2.64999532e-01	2.20927386e-02	1.71777753e-02	2.07143259e-02	0.00000000e+00
0.2             	2.50562256e-01	2.16104300e-02	1.67917151e-02	1.75301230e-02	0.00000000e+00
0.205           	1.40180015e-01	2.11485307e-02	1.64245476e-02	2.22025314e-02	0.00000000e+00
0.21            	1.95088088e-01	2.07083720e-02	1.60757086e-02	2.01518737e-02	0.00000000e+00
0.215           	1.66729607e-01	2.02884497e-02	1.57438692e-02	1.79848617e-02	0.00000000e+00
0.22            	1.74973093e-01	1.98873960e-02	1.54278291e-02	2.14603173e-02	0.00000000e+00
0.225           	1.55445431e-01	1.95039626e-02	1.51264946e-02	2.21848551e-02	0.00000000e+00
0.23            	3.19539185e-01	1.91370110e-02	1.48388727e-02	2.27811098e-02	0.00000000e+00
0.235           	1.76963773e-01	1.87854967e-02	1.45640550e-02	2.38878730e-02	0.00000000e+00
0.24            	1.80494743e-01	1.84475325e-02	1.43012136e-02	1.95595471e-02	0.00000000e+00
0.245           	2.57941291e-01	1.81205294e-02	1.40480424e-02	1.30287075e-02	0.00000000e+00
0.25            	1.34251787e-01	1.78064920e-02	1.38051457e-02	1.70669241e-02	0.00000000e+00
0.255           	3.77181832e-01	1.75046640e-02	1.35722096e-02	2.87672579e-02	0.00000000e+00
0.26            	2.19133858e-01	1.72143462e-02	1.33486405e-02	1.84050917e-02	0.00000000e+00
0.265           	1.57556790e-01	1.69348915e-02	1.31338888e-02	1.80351577e-02	0.00000000e+00
0.27            	2.16827554e-01	1.66653937e-02	1.29275056e-02	2.09592550e-02	0.00000000e+00
0.275           	3.77386343e-01	1.64028190e-02	1.27297705e-02	1.83783827e-02	0.00000000e+00
0.28            	1.27034499e-01	1.61495766e-02	1.25378335e-02	1.55210665e-02	0.00000000e+00
0.285           	1.10469611e-01	1.59051756e-02	1.23528843e-02	1.20168860e-02	0.00000000e+00
0.29            	1.86976976e-01	1.56691633e-02	1.21746161e-02	2.22095692e-02	0.00000000e+00
