X,Y,Z,p,U_0,U_1,U_2
0.256272,0.270804,0.00564227,0.0,0.4,0.0,0.0
0.25783,0.270796,0.00558578,0.0,0.4,0.0,0.0
0.257787,0.268847,0.0047235,0.0,0.4,0.0,0.0
0.256286,0.26884,0.00478514,0.0,0.4,0.0,0.0
0.25675,0.271865,0.00576721,0.0,0.4,0.0,0.0
0.257832,0.271983,0.005528,0.0,0.4,0.0,0.0
0.263684,0.256827,0.00597383,0.0,0.4,0.0,0.0
0.263133,0.257485,0.0055363,0.0,0.4,0.0,0.0
0.26285,0.258896,0.00583763,0.0,0.4,0.0,0.0
0.263019,0.259432,0.00637866,0.0,0.4,0.0,0.0
0.263733,0.258853,0.00666364,0.0,0.4,0.0,0.0
0.264224,0.256998,0.00661677,0.0,0.4,0.0,0.0
0.264894,0.257006,0.0073381,0.0,0.4,0.0,0.0
0.264374,0.254944,0.0080484,0.0,0.4,0.0,0.0
0.26471,0.255412,0.00672651,0.0,0.4,0.0,0.0
0.262816,0.256938,0.00513769,0.0,0.4,0.0,0.0
0.262226,0.258831,0.00512473,0.0,0.4,0.0,0.0
0.260851,0.274223,0.00657408,0.0,0.4,0.0,0.0
0.260875,0.27239,0.00625605,0.0,0.4,0.0,0.0
0.259332,0.272898,0.00615299,0.0,0.4,0.0,0.0
0.259374,0.274387,0.00655843,0.0,0.4,0.0,0.0
0.260369,0.271652,0.00569102,0.0,0.4,0.0,0.0
0.259303,0.271924,0.00553042,0.0,0.4,0.0,0.0
0.259252,0.270711,0.0056306,0.0,0.4,0.0,0.0
0.260452,0.270308,0.00578121,0.0,0.4,0.0,0.0
0.265478,0.257598,0.00780114,0.0,0.4,0.0,0.0
0.264195,0.256472,0.00869008,0.0,0.4,0.0,0.0
0.265241,0.257777,0.00754598,0.0,0.4,0.0,0.0
0.263566,0.255725,0.00847646,0.0,0.4,0.0,0.0
0.262451,0.254419,0.00859603,0.0,0.4,0.0,0.0
0.262411,0.255558,0.0084996,0.0,0.4,0.0,0.0
0.260856,0.260775,0.00440149,0.0,0.4,0.0,0.0
0.261248,0.260837,0.00514555,0.0,0.4,0.0,0.0
0.261694,0.259519,0.00476314,0.0,0.4,0.0,0.0
0.261655,0.259431,0.0041139,0.0,0.4,0.0,0.0
0.261443,0.261317,0.00566245,0.0,0.4,0.0,0.0
0.26218,0.260723,0.00592207,0.0,0.4,0.0,0.0
0.262486,0.253059,0.00750284,0.0,0.4,0.0,0.0
0.263907,0.253011,0.00749125,0.0,0.4,0.0,0.0
0.265019,0.25293,0.00744698,0.0,0.4,0.0,0.0
0.265491,0.252901,0.00679095,0.0,0.4,0.0,0.0
0.263394,0.244301,0.00508383,0.0,0.4,0.0,0.0
