X,Y,Z,p,U_0,U_1,U_2
0.318981,0.247331,0.0571207,0.0,-9.4394e-40,1.37889e-40,3.663511e-39
0.318895,0.245762,0.057261,0.0,-6.18181e-40,1.71326e-40,1.72516e-39
0.318781,0.245554,0.056174,0.0,-6.41268e-40,2.10971e-40,1.73154e-39
0.319762,0.246352,0.0562646,0.0,-8.47937e-40,1.49579e-40,3.42069e-39
0.317789,0.247277,0.0579386,0.0,-1.55722e-39,4.91808e-40,4.170948e-39
0.318183,0.245047,0.0578211,0.0,-5.44655e-40,2.03177e-40,1.34886e-39
0.317901,0.244661,0.0558442,0.0,-4.43022e-40,1.72917e-40,1.066446e-39
0.250023,0.198799,0.057925,0.0,0.0,0.0,0.0
0.250067,0.199871,0.0587335,0.0,0.0,0.0,0.0
0.24846,0.200176,0.0580981,0.0,0.0,0.0,0.0
0.248458,0.198784,0.0579897,0.0,0.0,0.0,0.0
0.302197,0.223832,0.0558084,0.0,-1e-45,7e-45,3e-45
0.302264,0.223393,0.0571669,0.0,-1e-45,7e-45,4e-45
0.301369,0.222448,0.0571519,0.0,-0.0,3e-45,3e-45
0.300133,0.221567,0.0572668,0.0,-0.0,1e-45,1e-45
0.300753,0.22137,0.0561418,0.0,0.0,1e-45,1e-45
0.313468,0.238239,0.0569235,0.0,-1.794e-41,2.2551e-41,2.6138e-41
0.313198,0.236929,0.0570443,0.0,-1.1456e-41,1.507e-41,1.5716e-41
0.312581,0.237125,0.0560878,0.0,-1.1386e-41,1.5326e-41,1.3374e-41
0.31361,0.238131,0.0561667,0.0,-1.726e-41,2.2027e-41,2.2857e-41
0.314442,0.239092,0.0561361,0.0,-2.954e-41,3.2786e-41,4.3753e-41
0.31464,0.238914,0.0571285,0.0,-3.1843e-41,3.3392e-41,5.1764e-41
0.272556,0.246325,0.0571948,0.0,9.4669e-41,8.1766e-41,1.00543e-40
0.272918,0.247559,0.0570607,0.0,2.7388e-40,2.85927e-40,4.12423e-40
0.273712,0.247408,0.0559349,0.0,2.57395e-40,2.66835e-40,3.89837e-40
0.273246,0.246122,0.0558349,0.0,7.93e-41,7.1257e-41,8.6966e-41
0.275921,0.249889,0.0568852,0.0,2.41923e-39,4.522443e-39,7.031354e-39
0.274971,0.249124,0.0569377,0.0,5.34015e-40,7.11251e-40,1.068284e-39
0.27497,0.248745,0.0579768,0.0,5.36517e-40,7.21253e-40,1.116965e-39
0.276493,0.249226,0.0579169,0.0,2.422188e-39,4.192842e-39,6.620173e-39
0.285825,0.255601,0.058231,0.0,7.6663935e-36,1.8006183e-35,1.9685115e-35
0.287031,0.255717,0.0582054,0.0,1.1338007e-35,2.447633e-35,2.918911e-35
0.28752,0.256994,0.0579489,0.0,4.1161284e-35,1.0173175e-34,9.829395e-35
0.285923,0.257004,0.0579339,0.0,2.1843733e-35,6.399187e-35,6.3725804e-35
0.293793,0.257127,0.0579292,0.0,9.671203e-35,3.6516987e-34,2.6885273e-34
0.293874,0.255765,0.0584247,0.0,1.8280484e-35,7.8240646e-35,6.3551076e-35
0.295377,0.255662,0.0584677,0.0,1.9170739e-35,9.297638e-35,8.2859696e-35
0.295329,0.257105,0.0579122,0.0,1.0233095e-34,4.173161e-34,3.4354174e-34
0.262249,0.240398,0.0558401,0.0,1e-45,0.0,1e-45
0.263104,0.24073,0.0552602,0.0,1e-45,1e-45,1e-45
0.263082,0.240709,0.0547166,0.0,1e-45,0.0,1e-45
0.262148,0.240007,0.0546875,0.0,1e-45,0.0,1e-45
0.234329,0.208446,0.0557967,0.0,0.0,0.0,0.0
0.234282,0.206573,0.055757,0.0,0.0,0.0,0.0
0.23561,0.206605,0.055804,0.0,0.0,0.0,0.0
0.235506,0.208391,0.0558423,0.0,0.0,0.0,0.0
0.235399,0.209837,0.0558729,0.0,0.0,0.0,0.0
0.234353,0.210025,0.0559292,0.0,0.0,0.0,0.0
0.238828,0.212415,0.0587789,0.0,0.0,0.0,-0.0
0.239065,0.210768,0.0588882,0.0,0.0,0.0,-0.0
0.239963,0.210499,0.0588565,0.0,0.0,0.0,-0.0
0.240422,0.210529,0.0591931,0.0,0.0,0.0,-0.0
0.240288,0.21247,0.0597414,0.0,0.0,0.0,-0.0
0.237878,0.210308,0.0586927,0.0,0.0,0.0,-0.0
0.238307,0.209451,0.0589792,0.0,0.0,0.0,-0.0
0.239128,0.209636,0.0589795,0.0,0.0,0.0,-0.0
0.285977,0.222036,0.0588798,0.0,0.0,0.0,0.0
0.284911,0.222478,0.0588533,0.0,0.0,0.0,0.0
0.284558,0.221975,0.0591629,0.0,0.0,0.0,0.0
0.284809,0.220606,0.0596482,0.0,0.0,0.0,0.0
0.285806,0.219979,0.0593445,0.0,0.0,0.0,0.0
0.286259,0.220597,0.058898,0.0,0.0,0.0,0.0
0.260796,0.239832,0.0546717,0.0,0.0,0.0,0.0
0.260866,0.239563,0.0556797,0.0,0.0,0.0,0.0
0.314029,0.239609,0.0578614,0.0,-3.6826e-41,3.8607e-41,6.2603e-41
0.313533,0.238308,0.0576716,0.0,-1.936e-41,2.4272e-41,2.9789e-41
0.290626,0.253123,0.0589584,0.0,3.09784e-36,7.3073806e-36,7.7043266e-36
0.289081,0.253099,0.0589832,0.0,2.1225519e-36,5.107609e-36,6.2427675e-36
0.289055,0.251676,0.0599405,0.0,5.785993e-37,1.2619116e-36,1.1178257e-36
0.290633,0.251669,0.0599055,0.0,5.6968042e-37,1.5877572e-36,1.6227499e-36
0.237565,0.200884,0.0556968,0.0,0.0,0.0,0.0
0.237925,0.19944,0.0556861,0.0,0.0,0.0,0.0
0.239008,0.19876,0.0559249,0.0,0.0,0.0,0.0
0.239009,0.200337,0.0558444,0.0,0.0,0.0,-0.0
0.256247,0.196522,0.0558746,0.0,0.0,0.0,0.0
0.256105,0.197328,0.0561723,0.0,0.0,0.0,0.0
0.254798,0.196775,0.05662,0.0,0.0,0.0,0.0
0.254792,0.196311,0.0560364,0.0,0.0,0.0,0.0
0.253614,0.196274,0.0559417,0.0,0.0,0.0,0.0
0.253172,0.195221,0.0559148,0.0,0.0,0.0,0.0
0.254748,0.195254,0.0559152,0.0,0.0,0.0,0.0
0.256293,0.19531,0.0559557,0.0,0.0,0.0,0.0
0.265731,0.200567,0.055936,0.0,0.0,0.0,0.0
0.264441,0.200605,0.0559397,0.0,0.0,0.0,0.0
0.264362,0.198913,0.0559115,0.0,0.0,0.0,0.0
0.265683,0.198879,0.0559583,0.0,0.0,0.0,0.0
0.317522,0.244898,0.0554018,0.0,-5.75872e-40,2.8368e-40,1.387546e-39
0.318393,0.245833,0.055378,0.0,-7.75567e-40,3.57471e-40,2.01266e-39
0.319253,0.246785,0.0552744,0.0,-9.74043e-40,3.08964e-40,3.590605e-39
0.316043,0.241059,0.0559923,0.0,-9.3441e-41,7.2537e-41,1.66771e-40
0.316499,0.240717,0.0572547,0.0,-9.7815e-41,7.2115e-41,1.84443e-40
0.31558,0.239753,0.0571575,0.0,-4.9641e-41,4.7288e-41,8.4082e-41
