X,Y,Z,p,U_0,U_1,U_2
0.199249,0.20848,0.0478133,0.0,0.0,0.0,0.0
0.19939,0.208477,0.0491194,0.0,0.0,0.0,0.0
0.199308,0.210433,0.0491868,0.0,0.0,0.0,0.0
0.199203,0.210443,0.0478358,0.0,0.0,0.0,0.0
0.311916,0.318951,0.0353738,0.0,0.0,0.0,0.0
0.31198,0.316968,0.0355569,0.0,0.0,0.0,0.0
0.311772,0.316919,0.0349124,0.0,0.0,0.0,0.0
0.3117,0.318258,0.0349791,0.0,0.0,0.0,0.0
0.274699,0.208591,0.042339,0.0,0.0,0.0,0.0
0.275483,0.206646,0.042524,0.0,0.0,0.0,0.0
0.274998,0.206604,0.0409968,0.0,0.0,0.0,0.0
0.275243,0.208477,0.0412346,0.0,0.0,0.0,0.0
0.301532,0.301526,0.0409569,0.0,0.0,0.0,0.0
0.300405,0.302097,0.0410845,0.0,0.0,0.0,0.0
0.300007,0.303493,0.0410939,0.0,0.0,0.0,0.0
0.301159,0.302983,0.0408746,0.0,0.0,0.0,0.0
0.199235,0.206526,0.0477833,0.0,0.0,0.0,0.0
0.199369,0.206517,0.0491126,0.0,0.0,0.0,0.0
0.287932,0.223983,0.0534655,0.0,0.0,0.0,0.0
0.288096,0.221945,0.0530288,0.0,0.0,0.0,0.0
0.287044,0.222022,0.0529029,0.0,0.0,0.0,0.0
0.287072,0.223976,0.0528601,0.0,0.0,0.0,0.0
0.287081,0.225925,0.052864,0.0,0.0,0.0,0.0
0.285834,0.223979,0.0529166,0.0,0.0,0.0,0.0
0.285836,0.22593,0.0529223,0.0,0.0,0.0,0.0
0.281008,0.286008,0.0176606,0.0,0.0,0.0,0.0
0.279967,0.286027,0.0177021,0.0,0.0,0.0,0.0
0.279915,0.287928,0.0176941,0.0,0.0,0.0,0.0
0.280949,0.287977,0.0176505,0.0,0.0,0.0,0.0
0.237151,0.208518,0.0386885,0.0,0.0,0.0,0.0
0.237106,0.210337,0.0388126,0.0,0.0,0.0,0.0
0.237746,0.210447,0.0383284,0.0,0.0,0.0,0.0
0.23791,0.208605,0.0381141,0.0,0.0,0.0,0.0
0.204612,0.200747,0.0439981,0.0,0.0,0.0,0.0
0.206241,0.200746,0.0438636,0.0,0.0,0.0,0.0
0.206042,0.198846,0.0438159,0.0,0.0,0.0,0.0
0.204952,0.198835,0.0439442,0.0,0.0,0.0,0.0
0.307209,0.293976,0.0451291,0.0,0.0,0.0,0.0
0.306551,0.29165,0.0438854,0.0,0.0,0.0,0.0
0.30574,0.29254,0.0439058,0.0,0.0,0.0,0.0
0.306364,0.293323,0.0437861,0.0,0.0,0.0,0.0
0.304551,0.29147,0.0445603,0.0,0.0,0.0,0.0
0.304581,0.292322,0.0438534,0.0,0.0,0.0,0.0
0.293362,0.302944,0.0438862,0.0,0.0,0.0,0.0
0.293462,0.301511,0.0438839,0.0,0.0,0.0,0.0
0.291964,0.301611,0.0447291,0.0,0.0,0.0,0.0
0.291709,0.303449,0.0444657,0.0,0.0,0.0,0.0
0.292439,0.303473,0.0438485,0.0,0.0,0.0,0.0
0.24393,0.231495,0.0478081,0.0,0.0,0.0,0.0
0.242593,0.232204,0.0478711,0.0,0.0,0.0,0.0
0.242833,0.232504,0.0482115,0.0,0.0,0.0,0.0
0.243879,0.232167,0.048554,0.0,0.0,0.0,0.0
0.256158,0.225804,0.0504127,0.0,0.0,0.0,0.0
0.256265,0.223979,0.0499663,0.0,0.0,0.0,0.0
0.254823,0.224076,0.0498821,0.0,0.0,0.0,0.0
0.25473,0.225916,0.0498966,0.0,0.0,0.0,0.0
0.291792,0.278082,0.0543217,0.0,0.0,0.0,0.0
0.291731,0.277802,0.0538249,0.0,0.0,0.0,0.0
0.2925,0.276211,0.0538166,0.0,0.0,0.0,0.0
0.291573,0.27603,0.054431,0.0,0.0,0.0,0.0
0.268642,0.285491,0.0117728,0.0,0.0,0.0,0.0
0.269027,0.284426,0.0116314,0.0,0.0,0.0,0.0
0.268534,0.28385,0.0113013,0.0,0.0,0.0,0.0
0.267142,0.284406,0.0107762,0.0,0.0,0.0,0.0
0.267147,0.285726,0.0119763,0.0,0.0,0.0,0.0
0.269964,0.283993,0.0116996,0.0,0.0,0.0,0.0
0.269763,0.285345,0.011662,0.0,0.0,0.0,0.0
0.270291,0.285897,0.0123315,0.0,0.0,0.0,0.0
0.270933,0.284217,0.0116821,0.0,0.0,0.0,0.0
0.27568,0.278173,0.0148151,0.0,0.0,0.0,0.0
0.27562,0.27813,0.0139021,0.0,0.0,0.0,0.0
0.275613,0.280202,0.0139192,0.0,0.0,0.0,0.0
0.275779,0.27966,0.0145409,0.0,0.0,0.0,0.0
0.26865,0.288095,0.0140627,0.0,0.0,0.0,0.0
0.268493,0.288535,0.0147578,0.0,0.0,0.0,0.0
0.26971,0.288991,0.0146724,0.0,0.0,0.0,0.0
0.270276,0.288629,0.013918,0.0,0.0,0.0,0.0
0.250009,0.190782,0.0381391,0.0,0.0,0.0,0.0
0.249551,0.190367,0.0385272,0.0,0.0,0.0,0.0
0.248372,0.190529,0.0385261,0.0,0.0,0.0,0.0
0.248442,0.191494,0.0378933,0.0,0.0,0.0,0.0
0.260926,0.239375,0.0377737,0.0,0.0,0.0,0.0
0.262624,0.239539,0.0378116,0.0,0.0,0.0,0.0
0.262569,0.237565,0.0378001,0.0,0.0,0.0,0.0
0.2613,0.237617,0.0377636,0.0,0.0,0.0,0.0
0.263828,0.238983,0.038152,0.0,0.0,0.0,0.0
0.26428,0.237551,0.0378343,0.0,0.0,0.0,0.0
0.26246,0.239586,0.0396131,0.0,0.0,0.0,0.0
0.262381,0.239327,0.0398251,0.0,0.0,0.0,0.0
0.263489,0.238791,0.03976,0.0,0.0,0.0,0.0
0.263894,0.239102,0.0391414,0.0,0.0,0.0,0.0
0.249111,0.240656,0.039251,0.0,0.0,0.0,0.0
0.248311,0.240191,0.038748,0.0,0.0,0.0,0.0
0.248009,0.24017,0.0398681,0.0,0.0,0.0,0.0
0.24901,0.240782,0.0397717,0.0,0.0,0.0,0.0
0.262275,0.241116,0.038833,0.0,0.0,0.0,0.0
0.261906,0.240557,0.0398276,0.0,0.0,0.0,0.0
0.257848,0.241904,0.038852,0.0,0.0,0.0,0.0
0.256222,0.241302,0.0388662,0.0,0.0,0.0,0.0
0.25608,0.240892,0.0391116,0.0,0.0,0.0,0.0
0.257902,0.241099,0.0401397,0.0,0.0,0.0,0.0
0.210906,0.192984,0.0438811,0.0,0.0,0.0,0.0
0.212098,0.192508,0.0438803,0.0,0.0,0.0,0.0
0.212524,0.191075,0.0438931,0.0,0.0,0.0,0.0
0.210891,0.19104,0.0438224,0.0,0.0,0.0,0.0
0.218353,0.186653,0.0438831,0.0,0.0,0.0,0.0
0.218742,0.185242,0.043926,0.0,0.0,0.0,0.0
0.217188,0.185796,0.0441881,0.0,0.0,0.0,0.0
0.21715,0.187161,0.0438511,0.0,0.0,0.0,0.0
0.205892,0.202664,0.0439061,0.0,0.0,0.0,0.0
0.20466,0.202674,0.0437825,0.0,0.0,0.0,0.0
0.258237,0.20068,0.044752,0.0,0.0,0.0,0.0
0.257426,0.200709,0.0448349,0.0,0.0,0.0,0.0
0.257318,0.198903,0.044836,0.0,0.0,0.0,0.0
0.258142,0.198831,0.044519,0.0,0.0,0.0,0.0
0.206107,0.229809,0.0468683,0.0,0.0,0.0,0.0
0.206669,0.231009,0.0472283,0.0,0.0,0.0,0.0
0.207694,0.231329,0.0468841,0.0,0.0,0.0,0.0
0.207744,0.229784,0.0468823,0.0,0.0,0.0,0.0
0.210817,0.233924,0.0481092,0.0,0.0,0.0,0.0
0.211763,0.234544,0.0479317,0.0,0.0,0.0,0.0
0.212395,0.233718,0.0468798,0.0,0.0,0.0,0.0
0.210883,0.233225,0.0469005,0.0,0.0,0.0,0.0
0.21245,0.231846,0.0469055,0.0,0.0,0.0,0.0
0.210898,0.231781,0.0468635,0.0,0.0,0.0,0.0
0.249933,0.233079,0.0428528,0.0,0.0,0.0,0.0
0.249967,0.233926,0.0422741,0.0,0.0,0.0,0.0
0.248633,0.234367,0.0427851,0.0,0.0,0.0,0.0
0.248463,0.233447,0.0427763,0.0,0.0,0.0,0.0
0.243826,0.232105,0.0452281,0.0,0.0,0.0,0.0
0.242843,0.232573,0.0455531,0.0,0.0,0.0,0.0
0.242576,0.232207,0.0458478,0.0,0.0,0.0,0.0
0.243904,0.231499,0.0459155,0.0,0.0,0.0,0.0
0.306871,0.293864,0.0456575,0.0,0.0,0.0,0.0
0.307064,0.29203,0.0458199,0.0,0.0,0.0,0.0
