X,Y,Z,p,U_0,U_1,U_2
0.262763,0.255075,0.00583834,0.0,-5.428429,0.4502067,-1.0943696
0.262522,0.270409,0.0120285,0.0,-0.887896,0.030506587,-0.028033424
0.262384,0.27037,0.0183298,0.0,-0.042834647,0.0009775254,0.0018487142
0.275036,0.286324,0.0178321,0.0,-0.0014950921,-0.0004921776,-0.00043517342
0.275054,0.285948,0.0237673,0.0,0.0,0.0,0.0
0.287866,0.28561,0.0239257,0.0,0.0,0.0,0.0
0.287201,0.302198,0.0236705,0.0,0.0,0.0,0.0
0.300061,0.301531,0.029843,0.0,0.0,0.0,0.0
0.29977,0.317068,0.0300531,0.0,-5.6779613e-15,-1.1909349e-14,-5.6846397e-15
0.312564,0.31699,0.0359403,0.0,0.0,0.0,0.0
0.312779,0.332621,0.0361423,0.0,0.0,0.0,0.0
0.224536,0.192294,0.0415002,0.0,0.0,0.0,0.0
0.237479,0.193012,0.0418187,0.0,0.0,0.0,0.0
0.250071,0.192782,0.0420282,0.0,0.0,0.0,0.0
0.262511,0.192931,0.0418442,0.0,0.0,0.0,0.0
0.212476,0.208494,0.0418137,0.0,0.0,0.0,0.0
0.224994,0.208505,0.041891,0.0,0.0,0.0,0.0
0.237483,0.208482,0.0418761,0.0,0.0,0.0,0.0
0.250037,0.20849,0.0421244,0.0,0.0,0.0,0.0
0.262527,0.208493,0.0422522,0.0,-0.0,0.0,0.0
0.274699,0.208591,0.042339,0.0,0.0,0.0,0.0
0.224965,0.224041,0.0418952,0.0,0.0,0.0,0.0
0.237478,0.224088,0.0419497,0.0,0.0,0.0,0.0
0.250079,0.224079,0.0421817,0.0,0.0,0.0,0.0
0.262516,0.224033,0.0421266,0.0,0.0,0.0,0.0
0.300028,0.301563,0.0417557,0.0,0.0,0.0,0.0
0.311835,0.301617,0.0418244,0.0,0.0,0.0,0.0
0.299647,0.317145,0.0418768,0.0,2.9700442e-19,-2.4913191e-18,-7.506885e-18
0.212416,0.192889,0.0481015,0.0,0.0,0.0,0.0
0.224972,0.192911,0.0481051,0.0,0.0,0.0,0.0
