time_s,flow_m3_s,pressure_Pa
0.000000000000000000e+00,-2.588769442907792738e-06,2.696029921344544855e+05
7.651130226045133043e-04,1.187734632674851909e-05,2.696127650335691869e+05
1.530226045209026609e-03,2.716066687381253356e-05,2.696198589915750199e+05
2.295339067813539913e-03,4.273548592016247527e-05,2.696242605085752439e+05
3.060452090418053217e-03,5.807609718767656458e-05,2.696259412913949927e+05
3.825565113022566521e-03,7.265679439823304389e-05,2.696248582535816822e+05
4.590678135627079826e-03,8.595187127371012510e-05,2.696209535154048353e+05
5.355791158231593130e-03,9.743713551819022534e-05,2.696142982441545464e+05
6.120904180836106434e-03,1.068848378683841320e-04,2.696092894992078654e+05
6.886017203441063828e-03,1.147169778013162514e-04,2.696079527983232401e+05
7.651130226045577132e-03,1.214416916807289329e-04,2.696101710886586807e+05
8.416243248650090436e-03,1.275671158703782677e-04,2.696158125240946538e+05
9.181356271254603740e-03,1.336013867340155633e-04,2.696247304652332678e+05
9.946469293859117045e-03,1.400495659390198504e-04,2.696365779286305769e+05
1.071158231646363035e-02,1.472204672392431353e-04,2.696486493342991453e+05
1.147669533906814365e-02,1.551117544861201861e-04,2.696601446766597801e+05
1.224180836167265696e-02,1.636934949378276397e-04,2.696716347954816301e+05
1.300692138427717026e-02,1.729357558525419704e-04,2.696831291880630888e+05
1.377203440688168357e-02,1.827605706913601003e-04,2.696935576319819666e+05
1.453714742948619687e-02,1.928457186243203976e-04,2.697014935654567089e+05
1.530226045209071017e-02,2.027915329679407940e-04,2.697068940764970030e+05
1.606737347469522348e-02,2.121983158257511888e-04,2.697097297905696905e+05
1.683248649729973678e-02,2.206849678685590514e-04,2.697106667499614414e+05
1.759759951990425009e-02,2.282454528155078758e-04,2.697133824336838443e+05
1.836271254250876339e-02,2.352216626703244602e-04,2.697184126510919305e+05
1.912782556511327670e-02,2.419686514550026116e-04,2.697257514702418121e+05
1.989293858771779000e-02,2.488414731915360558e-04,2.697353988198366715e+05
2.065805161032230330e-02,2.561951819019185183e-04,2.697473604892270523e+05
2.142316463292681661e-02,2.643572874573953471e-04,2.697608138870227849e+05
2.218827765553132991e-02,2.733114983119570049e-04,2.697728763261039858e+05
2.295339067813584322e-02,2.828079691008503400e-04,2.697833234900812968e+05
2.371850370074035652e-02,2.925923984262966140e-04,2.697921846108942991e+05
2.448361672334486983e-02,3.024114375230890902e-04,2.697995677957805456e+05
2.524872974594938313e-02,3.121206550776576866e-04,2.698070548252154840e+05
2.601384276855389643e-02,3.217838209580190867e-04,2.698153105872047017e+05
2.677895579115840974e-02,3.314881673682794545e-04,2.698243746236341540e+05
2.754406881376292304e-02,3.413209265125448995e-04,2.698342051645498723e+05
2.830918183636743635e-02,3.513335814181937065e-04,2.698439528288896545e+05
2.907429485897194965e-02,3.613703580734902018e-04,2.698523129182262346e+05
2.983940788157646296e-02,3.712009735563513908e-04,2.698592306959509151e+05
3.060452090418097626e-02,3.805950472784209895e-04,2.698646714655879769e+05
3.136963392678548956e-02,3.893293662064541572e-04,2.698688941879456397e+05
3.213474694939000287e-02,3.973570703055858810e-04,2.698737105166612309e+05
3.289985997199451617e-02,4.048142879248012738e-04,2.698794229650954367e+05
3.366497299459902948e-02,4.118456426128406915e-04,2.698860145513489842e+05
3.443008601720354278e-02,4.185957579184443268e-04,2.698934727221666835e+05
3.519519903980805609e-02,4.252092573903528067e-04,2.699017893529374269e+05
3.596031206241256939e-02,4.318263667247807056e-04,2.699108180845584720e+05
3.672542508501708269e-02,4.385226293043225742e-04,2.699199822702595266e+05
