face_index,zone_id,zone_name,area_m2,temperature_unit,h_unit,flux_unit
0,0,Head,0.010000,K,W/m2/K,W/m2
1,1,Neck,0.010000,K,W/m2/K,W/m2
2,2,Chest,0.010000,K,W/m2/K,W/m2
3,3,Back,0.010000,K,W/m2/K,W/m2
4,4,Pelvis,0.010000,K,W/m2/K,W/m2
5,5,LShoulder,0.010000,K,W/m2/K,W/m2
6,6,LArm,0.010000,K,W/m2/K,W/m2
7,7,LHand,0.010000,K,W/m2/K,W/m2
8,8,RShoulder,0.010000,K,W/m2/K,W/m2
9,9,RArm,0.010000,K,W/m2/K,W/m2
10,10,RHand,0.010000,K,W/m2/K,W/m2
11,11,LThigh,0.010000,K,W/m2/K,W/m2
12,12,LLeg,0.010000,K,W/m2/K,W/m2
13,13,LFoot,0.010000,K,W/m2/K,W/m2
14,14,RThigh,0.010000,K,W/m2/K,W/m2
15,15,RLeg,0.010000,K,W/m2/K,W/m2
16,16,RFoot,0.010000,K,W/m2/K,W/m2
