time,field,initial,final
1.0,Ux,1.0,0.000232707
2.0,Ux,0.110289,0.00725596
3.0,Ux,0.561411,0.0502347
4.0,Ux,0.261573,0.00556843
5.0,Ux,0.0630296,0.00135044
6.0,Ux,0.261687,0.00543871
7.0,Ux,0.201864,0.00425929
8.0,Ux,0.0606221,0.00173532
9.0,Ux,0.133009,0.00329656
10.0,Ux,0.0871482,0.00206366
11.0,Ux,0.0329769,0.000831117
12.0,Ux,0.0693617,0.00169452
13.0,Ux,0.0523755,0.00131313
14.0,Ux,0.0257113,0.000792391
15.0,Ux,0.0401453,0.00105831
16.0,Ux,0.0301867,0.000844252
17.0,Ux,0.0185974,0.000502103
18.0,Ux,0.0250815,0.000622755
19.0,Ux,0.021524,0.000571964
20.0,Ux,0.015135,0.000442508
21.0,Ux,0.0179738,0.000503636
22.0,Ux,0.0161676,0.000472604
23.0,Ux,0.013788,0.000388475
24.0,Ux,0.0138666,0.000407322
25.0,Ux,0.0119333,0.000383161
26.0,Ux,0.0103279,0.000347745
27.0,Ux,0.0111392,0.000350811
28.0,Ux,0.0114248,0.000337046
29.0,Ux,0.0113167,0.000337995
30.0,Ux,0.0111132,0.000352021
31.0,Ux,0.0106738,0.000349395
32.0,Ux,0.0105853,0.000350458
33.0,Ux,0.011134,0.000362651
34.0,Ux,0.0117886,0.000382628
35.0,Ux,0.0121911,0.000395411
36.0,Ux,0.012426,0.000401179
37.0,Ux,0.0124703,0.000406358
38.0,Ux,0.0125713,0.000419322
39.0,Ux,0.0128746,0.000443551
40.0,Ux,0.0134847,0.000478851
41.0,Ux,0.0141164,0.00050887
42.0,Ux,0.0146266,0.00052798
43.0,Ux,0.0153241,0.000544518
44.0,Ux,0.0162982,0.000567524
45.0,Ux,0.0173601,0.000594636
46.0,Ux,0.0184315,0.000614185
47.0,Ux,0.0192246,0.000612359
48.0,Ux,0.0196922,0.000590123
49.0,Ux,0.01982,0.000557603
50.0,Ux,0.0196238,0.00052774
51.0,Ux,0.019039,0.000504876
52.0,Ux,0.0181266,0.000473363
53.0,Ux,0.0168374,0.000431618
54.0,Ux,0.0152316,0.000386866
55.0,Ux,0.0135612,0.000348112
56.0,Ux,0.0120856,0.000322025
57.0,Ux,0.010975,0.000305439
58.0,Ux,0.0101288,0.000292372
59.0,Ux,0.00963364,0.000279027
60.0,Ux,0.00928628,0.000266089
61.0,Ux,0.00896888,0.000255092
62.0,Ux,0.00872176,0.000248829
63.0,Ux,0.00852625,0.000247956
64.0,Ux,0.00836472,0.000248449
65.0,Ux,0.0082375,0.000248862
66.0,Ux,0.00813215,0.000248657
67.0,Ux,0.0080314,0.00024791
68.0,Ux,0.00792704,0.00024625
69.0,Ux,0.00783162,0.00024116
70.0,Ux,0.00774628,0.000233611
71.0,Ux,0.00764922,0.000227346
72.0,Ux,0.0075552,0.000225136
73.0,Ux,0.00752422,0.000228036
74.0,Ux,0.00759083,0.000232867
75.0,Ux,0.00767045,0.000239624
76.0,Ux,0.00782645,0.000248517
77.0,Ux,0.00806873,0.000258858
78.0,Ux,0.0083342,0.000270239
79.0,Ux,0.008566,0.000281178
80.0,Ux,0.00872721,0.000287125
81.0,Ux,0.00890516,0.000286053
82.0,Ux,0.00926376,0.000280964
83.0,Ux,0.00996683,0.000277909
84.0,Ux,0.0107609,0.000284662
85.0,Ux,0.0113642,0.000286966
86.0,Ux,0.0116314,0.0002787
87.0,Ux,0.0114878,0.000257568
88.0,Ux,0.0110657,0.000236209
89.0,Ux,0.0104492,0.000222177
90.0,Ux,0.00975694,0.000217221
91.0,Ux,0.009118,0.000217059
92.0,Ux,0.00866684,0.000213774
93.0,Ux,0.00846272,0.000211486
94.0,Ux,0.00839506,0.000212063
