time,field,initial,final
1.0,Ux,1.0,1.07207e-07
2.0,Ux,0.285509,0.0164836
3.0,Ux,0.747709,0.0209313
4.0,Ux,0.49313,0.0129641
5.0,Ux,0.130579,0.0058304
6.0,Ux,0.698918,0.0245119
7.0,Ux,0.585869,0.0146524
8.0,Ux,0.296827,0.0105431
9.0,Ux,0.300898,0.00885188
10.0,Ux,0.340882,0.014181
11.0,Ux,0.345534,0.0103526
12.0,Ux,0.332779,0.019691
13.0,Ux,0.285975,0.0148331
14.0,Ux,0.244066,0.00791735
15.0,Ux,0.237292,0.00791877
16.0,Ux,0.248248,0.00526759
17.0,Ux,0.248651,0.0227579
18.0,Ux,0.227763,0.0176861
19.0,Ux,0.24851,0.018568
20.0,Ux,0.271285,0.0223484
21.0,Ux,0.236246,0.0192853
22.0,Ux,0.175229,0.0135614
23.0,Ux,0.180336,0.0131788
24.0,Ux,0.218653,0.015592
25.0,Ux,0.244205,0.0160938
26.0,Ux,0.234192,0.0135789
27.0,Ux,0.197683,0.00960193
28.0,Ux,0.196024,0.0081819
29.0,Ux,0.222952,0.00895338
30.0,Ux,0.214211,0.0088849
31.0,Ux,0.209223,0.00747082
32.0,Ux,0.210929,0.00591848
33.0,Ux,0.212412,0.00530374
34.0,Ux,0.172656,0.00458666
35.0,Ux,0.149594,0.00413151
36.0,Ux,0.143769,0.00346022
37.0,Ux,0.132415,0.00307655
38.0,Ux,0.107855,0.00308552
39.0,Ux,0.0982296,0.00282676
40.0,Ux,0.112418,0.00225964
41.0,Ux,0.131707,0.00259764
42.0,Ux,0.104015,0.00238159
43.0,Ux,0.0821335,0.00212549
44.0,Ux,0.0652974,0.00168198
45.0,Ux,0.0546449,0.0012187
46.0,Ux,0.0444528,0.000798292
47.0,Ux,0.0387316,0.000753782
48.0,Ux,0.0354502,0.000886295
49.0,Ux,0.034197,0.000845938
50.0,Ux,0.0337673,0.000764662
51.0,Ux,0.0295055,0.000627538
52.0,Ux,0.0260903,0.000557436
53.0,Ux,0.0200768,0.000431331
54.0,Ux,0.016241,0.000376653
55.0,Ux,0.0156155,0.000359824
56.0,Ux,0.0139594,0.000321884
57.0,Ux,0.0123504,0.000300589
58.0,Ux,0.0107585,0.000277055
59.0,Ux,0.01166,0.000290674
60.0,Ux,0.0116505,0.00027933
61.0,Ux,0.00964939,0.000242334
62.0,Ux,0.00849005,0.000178479
63.0,Ux,0.00831396,0.000159019
64.0,Ux,0.00615291,0.000138445
65.0,Ux,0.00485829,0.00012754
66.0,Ux,0.0051109,0.000115095
67.0,Ux,0.00506861,0.000101321
68.0,Ux,0.00362756,8.01028e-05
69.0,Ux,0.0027938,6.42761e-05
70.0,Ux,0.00277691,5.45549e-05
71.0,Ux,0.00267764,5.18126e-05
72.0,Ux,0.00193568,4.29787e-05
73.0,Ux,0.00142123,3.39379e-05
74.0,Ux,0.00131255,3.37065e-05
75.0,Ux,0.00147095,3.39923e-05
76.0,Ux,0.00112272,2.58742e-05
77.0,Ux,0.000823008,1.62503e-05
78.0,Ux,0.000770501,1.49234e-05
79.0,Ux,0.000683228,1.62784e-05
80.0,Ux,0.000527551,1.45263e-05
81.0,Ux,0.000431264,9.662e-06
82.0,Ux,0.000415049,7.50507e-06
83.0,Ux,0.000374591,7.11138e-06
84.0,Ux,0.000284458,6.04695e-06
85.0,Ux,0.000225518,4.60131e-06
86.0,Ux,0.000225417,4.24501e-06
87.0,Ux,0.000186249,3.74252e-06
88.0,Ux,0.000135911,2.91882e-06
89.0,Ux,0.000106914,2.15135e-06
90.0,Ux,0.000109437,1.85488e-06
91.0,Ux,8.79471e-05,1.56839e-06
92.0,Ux,6.21318e-05,1.26517e-06
93.0,Ux,4.59651e-05,9.87653e-07
94.0,Ux,4.48831e-05,9.4111e-07
95.0,Ux,3.90464e-05,8.00415e-07
96.0,Ux,3.1753e-05,5.85243e-07
97.0,Ux,2.48473e-05,4.66093e-07
98.0,Ux,2.08905e-05,4.19357e-07
99.0,Ux,2.48953e-05,5.65336e-07
100.0,Ux,2.4442e-05,5.32629e-07
101.0,Ux,1.82194e-05,3.55032e-07
102.0,Ux,1.65435e-05,2.945e-07
103.0,Ux,1.31275e-05,2.68106e-07
104.0,Ux,1.23174e-05,2.66255e-07
105.0,Ux,1.20612e-05,2.52793e-07
106.0,Ux,1.17568e-05,2.053e-07
107.0,Ux,1.24272e-05,2.07478e-07
1.0,Uy,1.0,0.0603601
2.0,Uy,0.230101,0.0180277
3.0,Uy,0.321079,0.0227365
4.0,Uy,0.162991,0.0146889
5.0,Uy,0.121568,0.011307
6.0,Uy,0.163584,0.00423424
7.0,Uy,0.364873,0.0206757
8.0,Uy,0.184145,0.0113405
9.0,Uy,0.227316,0.0139595
10.0,Uy,0.410653,0.0220553
11.0,Uy,0.232667,0.00861798
12.0,Uy,0.164695,0.00739876
13.0,Uy,0.141622,0.00653128
14.0,Uy,0.14321,0.00490053
15.0,Uy,0.161867,0.00527614
16.0,Uy,0.215663,0.00777317
17.0,Uy,0.280382,0.00955775
18.0,Uy,0.2884,0.00769782
19.0,Uy,0.286977,0.00486212
20.0,Uy,0.295868,0.00555126
21.0,Uy,0.263266,0.00601563
22.0,Uy,0.221469,0.00380466
23.0,Uy,0.197074,0.00333112
24.0,Uy,0.199237,0.0191183
25.0,Uy,0.19393,0.0178281
26.0,Uy,0.185345,0.0176112
27.0,Uy,0.207544,0.0193904
28.0,Uy,0.261975,0.0201984
29.0,Uy,0.259413,0.014524
30.0,Uy,0.242101,0.0157078
31.0,Uy,0.248389,0.0150388
32.0,Uy,0.218226,0.0111589
33.0,Uy,0.186897,0.00873553
34.0,Uy,0.164789,0.00693774
35.0,Uy,0.165439,0.00700858
36.0,Uy,0.157313,0.00620854
37.0,Uy,0.147189,0.00602675
38.0,Uy,0.143463,0.00610686
39.0,Uy,0.157507,0.00651249
40.0,Uy,0.193643,0.00741952
